Time (s),RPM
20.09,153.22
20.1,151.32
20.11,151.32
20.12,151.32
20.13,151.32
20.14,151.32
20.15,151.32
20.16,151.32
20.17,151.32
20.18,151.32
20.19,151.32
20.2,151.32
20.21,151.32
20.22,151.32
20.23,151.32
20.24,151.32
20.25,151.32
20.26,149.43
20.27,153.22
20.28,149.43
20.29,153.22
20.3,149.43
20.31,153.22
20.32,149.43
20.33,153.22
20.34,149.43
20.35,153.22
20.36,149.43
20.37,153.22
20.38,151.32
20.39,151.32
20.4,151.32
20.41,151.32
20.42,151.32
20.43,151.32
20.44,151.32
20.45,151.32
20.46,151.32
20.47,151.32
20.48,151.32
20.49,151.32
20.5,151.32
20.51,151.32
20.52,153.22
20.53,149.43
20.54,153.22
20.55,149.43
