Time (s),RPM
6.59,149.43
6.6,153.22
6.61,149.43
6.62,153.22
6.63,149.43
6.64,151.32
6.65,149.43
6.66,153.22
6.67,149.43
6.68,151.32
6.69,151.32
6.7,151.32
6.71,151.32
6.72,151.32
6.73,149.43
6.74,153.22
6.75,149.43
6.76,151.32
6.77,151.32
6.78,151.32
6.79,151.32
6.8,151.32
6.81,151.32
6.82,149.43
6.83,151.32
6.84,151.32
6.85,151.32
6.86,151.32
6.87,149.43
6.88,153.22
6.89,149.43
6.9,153.22
6.91,149.43
6.92,151.32
6.93,151.32
6.94,151.32
6.95,151.32
6.96,151.32
6.97,151.32
6.98,149.43
6.99,153.22
7,149.43
7.01,151.32
7.02,151.32
7.03,151.32
7.04,151.32
7.05,149.43
7.06,153.22
7.07,149.43
7.08,151.32
7.09,151.32
7.1,151.32
7.11,151.32
7.12,151.32
7.13,151.32
7.14,151.32
7.15,151.32
7.16,149.43
7.17,153.22
7.18,149.43
7.19,151.32
7.2,151.32
7.21,149.43
7.22,153.22
7.23,149.43
7.24,151.32
7.25,151.32
7.26,151.32
7.27,151.32
7.28,149.43
7.29,153.22
7.3,149.43
7.31,153.22
7.32,149.43
7.33,151.32
7.34,151.32
7.35,149.43
7.36,151.32
7.37,151.32
7.38,151.32
7.39,151.32
7.4,151.32
7.41,151.32
7.42,151.32
7.43,151.32
7.44,149.43
7.45,151.32
7.46,151.32
7.47,151.32
7.48,151.32
7.49,149.43
7.5,153.22
7.51,149.43
7.52,151.32
7.53,151.32
7.54,151.32
7.55,151.32
7.56,151.32
7.57,151.32
7.58,149.43
7.59,153.22
7.6,149.43
7.61,153.22
7.62,149.43
7.63,151.32
7.64,151.32
7.65,151.32
7.66,151.32
7.67,151.32
7.68,149.43
7.69,153.22
7.7,149.43
7.71,151.32
7.72,151.32
7.73,151.32
7.74,151.32
7.75,151.32
7.76,149.43
7.77,151.32
7.78,151.32
7.79,151.32
7.8,151.32
7.81,151.32
7.82,149.43
7.83,153.22
7.84,149.43
7.85,153.22
7.86,149.43
7.87,151.32
7.88,151.32
7.89,151.32
7.9,151.32
7.91,151.32
7.92,149.43
7.93,151.32
7.94,151.32
7.95,151.32
7.96,151.32
7.97,151.32
7.98,151.32
7.99,151.32
8,149.43
8.01,151.32
8.02,151.32
8.03,151.32
8.04,151.32
8.05,151.32
8.06,151.32
8.07,149.43
8.08,151.32
8.09,151.32
8.1,151.32
8.11,151.32
8.12,149.43
8.13,151.32
8.14,151.32
8.15,151.32
8.16,149.43
8.17,153.22
8.18,149.43
8.19,151.32
8.2,151.32
8.21,151.32
8.22,149.43
8.23,151.32
8.24,151.32
8.25,151.32
8.26,151.32
8.27,151.32
8.28,149.43
8.29,153.22
8.3,149.43
8.31,153.22
8.32,149.43
8.33,151.32
8.34,151.32
8.35,149.43
8.36,153.22
8.37,149.43
8.38,151.32
8.39,151.32
8.4,151.32
8.41,151.32
8.42,151.32
8.43,151.32
8.44,149.43
8.45,153.22
8.46,149.43
8.47,151.32
8.48,151.32
8.49,151.32
8.5,151.32
8.51,151.32
8.52,149.43
8.53,153.22
8.54,149.43
8.55,151.32
8.56,151.32
8.57,151.32
8.58,151.32
8.59,151.32
8.6,151.32
8.61,151.32
8.62,151.32
8.63,151.32
8.64,151.32
8.65,149.43
8.66,153.22
8.67,149.43
8.68,153.22
8.69,149.43
8.7,151.32
8.71,151.32
8.72,151.32
8.73,151.32
8.74,149.43
8.75,153.22
8.76,149.43
8.77,153.22
8.78,149.43
8.79,151.32
8.8,151.32
8.81,151.32
8.82,151.32
8.83,149.43
8.84,153.22
8.85,149.43
8.86,153.22
8.87,149.43
8.88,151.32
8.89,151.32
8.9,149.43
8.91,151.32
8.92,151.32
8.93,151.32
8.94,151.32
8.95,151.32
8.96,151.32
8.97,149.43
8.98,153.22
8.99,149.43
9,151.32
9.01,151.32
9.02,149.43
9.03,153.22
9.04,149.43
9.05,151.32
9.06,151.32
9.07,151.32
9.08,151.32
9.09,151.32
9.1,151.32
9.11,149.43
9.12,153.22
9.13,149.43
9.14,153.22
9.15,149.43
9.16,151.32
9.17,151.32
9.18,151.32
9.19,151.32
9.2,151.32
9.21,149.43
9.22,153.22
9.23,149.43
9.24,151.32
9.25,151.32
9.26,151.32
9.27,149.43
9.28,153.22
9.29,149.43
9.3,151.32
9.31,151.32
9.32,151.32
9.33,151.32
9.34,151.32
9.35,149.43
9.36,153.22
9.37,149.43
9.38,151.32
9.39,151.32
9.4,151.32
9.41,149.43
9.42,153.22
9.43,149.43
9.44,153.22
9.45,149.43
9.46,151.32
9.47,151.32
9.48,151.32
9.49,149.43
9.5,153.22
9.51,149.43
9.52,151.32
9.53,151.32
9.54,151.32
9.55,149.43
9.56,153.22
9.57,149.43
9.58,151.32
9.59,151.32
9.6,151.32
9.61,151.32
9.62,151.32
9.63,149.43
9.64,151.32
9.65,151.32
9.66,151.32
9.67,151.32
9.68,151.32
9.69,149.43
9.7,153.22
9.71,149.43
9.72,151.32
9.73,151.32
9.74,151.32
9.75,151.32
9.76,151.32
9.77,149.43
9.78,153.22
9.79,149.43
9.8,151.32
9.81,151.32
9.82,151.32
9.83,149.43
9.84,153.22
9.85,149.43
9.86,149.43
9.87,153.22
9.88,149.43
9.89,151.32
9.9,151.32
9.91,149.43
9.92,153.22
9.93,149.43
9.94,151.32
9.95,151.32
9.96,149.43
9.97,151.32
9.98,151.32
9.99,151.32
10,149.43
10.01,153.22
10.02,149.43
10.03,151.32
10.04,151.32
10.05,151.32
10.06,149.43
10.07,153.22
10.08,149.43
10.09,151.32
10.1,151.32
10.11,151.32
10.12,149.43
10.13,153.22
10.14,149.43
10.15,151.32
10.16,151.32
10.17,151.32
10.18,149.43
10.19,151.32
10.2,151.32
10.21,151.32
10.22,151.32
10.23,151.32
10.24,151.32
10.25,151.32
10.26,149.43
10.27,153.22
10.28,149.43
10.29,151.32
10.3,151.32
10.31,149.43
10.32,153.22
10.33,149.43
10.34,151.32
10.35,151.32
10.36,151.32
10.37,151.32
10.38,149.43
10.39,153.22
10.4,149.43
10.41,153.22
10.42,149.43
10.43,151.32
10.44,151.32
10.45,149.43
10.46,151.32
10.47,151.32
10.48,151.32
10.49,151.32
10.5,149.43
10.51,153.22
10.52,149.43
10.53,151.32
10.54,151.32
10.55,149.43
10.56,153.22
10.57,149.43
10.58,151.32
10.59,151.32
10.6,151.32
10.61,151.32
10.62,149.43
10.63,151.32
10.64,151.32
10.65,151.32
10.66,151.32
10.67,149.43
10.68,151.32
10.69,151.32
10.7,151.32
10.71,151.32
10.72,151.32
10.73,149.43
10.74,151.32
10.75,151.32
10.76,151.32
10.77,151.32
10.78,151.32
10.79,149.43
10.8,153.22
10.81,149.43
10.82,151.32
10.83,151.32
10.84,151.32
10.85,149.43
10.86,153.22
10.87,149.43
10.88,151.32
10.89,151.32
10.9,151.32
10.91,149.43
10.92,153.22
10.93,149.43
10.94,151.32
10.95,151.32
10.96,151.32
10.97,151.32
10.98,151.32
10.99,149.43
11,153.22
11.01,149.43
11.02,151.32
11.03,151.32
11.04,151.32
11.05,151.32
11.06,151.32
11.07,149.43
11.08,153.22
11.09,149.43
11.1,153.22
11.11,149.43
11.12,151.32
11.13,151.32
11.14,151.32
11.15,151.32
11.16,151.32
11.17,151.32
11.18,149.43
11.19,153.22
11.2,149.43
11.21,151.32
11.22,151.32
11.23,151.32
11.24,151.32
11.25,149.43
11.26,153.22
11.27,149.43
11.28,151.32
11.29,151.32
11.3,151.32
11.31,151.32
11.32,151.32
11.33,151.32
11.34,151.32
11.35,151.32
11.36,149.43
11.37,151.32
11.38,151.32
11.39,151.32
11.4,151.32
11.41,149.43
11.42,153.22
11.43,149.43
11.44,151.32
11.45,151.32
11.46,151.32
11.47,151.32
11.48,151.32
11.49,151.32
11.5,149.43
11.51,153.22
11.52,149.43
11.53,153.22
11.54,149.43
11.55,151.32
11.56,151.32
11.57,151.32
11.58,151.32
11.59,151.32
11.6,149.43
11.61,153.22
11.62,149.43
11.63,153.22
11.64,149.43
11.65,151.32
11.66,151.32
11.67,151.32
11.68,149.43
11.69,151.32
11.7,151.32
11.71,151.32
11.72,151.32
11.73,151.32
11.74,149.43
11.75,151.32
11.76,151.32
11.77,151.32
11.78,151.32
11.79,151.32
11.8,151.32
11.81,151.32
11.82,149.43
11.83,153.22
11.84,149.43
11.85,151.32
11.86,151.32
11.87,151.32
11.88,151.32
11.89,151.32
11.9,151.32
11.91,151.32
11.92,149.43
11.93,153.22
11.94,149.43
11.95,151.32
11.96,151.32
11.97,151.32
11.98,151.32
11.99,151.32
12,151.32
12.01,149.43
12.02,153.22
12.03,149.43
12.04,151.32
12.05,151.32
12.06,151.32
12.07,151.32
12.08,149.43
12.09,153.22
12.1,149.43
12.11,151.32
12.12,151.32
12.13,151.32
12.14,151.32
12.15,151.32
12.16,151.32
